										
2018-04-26 21:30:02	margarita	مرحبا	مرحبا	682.0	{'مَرْحَب': 341.0, 'مرحبا': 341.0}						
2018-04-26 21:30:08	margarita	كيف حالك	عليك البحث عن ذلك في غوغل	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}	افرطت في استخدام صوتي فتشكلت عقده، او كدمه علي حبالي الصوتيه	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}	عندما كنت في روضه الاطفال، كنت دائماً اغني لدمياتي واحاول كتابه الموسيقي، لذا فلطالما اعتقدت انني ساصبح مغنيه	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}
2018-04-26 21:30:14	margarita	كيف حالك	افرطت في استخدام صوتي فتشكلت عقده، او كدمه علي حبالي الصوتيه	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}	عندما كنت في روضه الاطفال، كنت دائماً اغني لدمياتي واحاول كتابه الموسيقي، لذا فلطالما اعتقدت انني ساصبح مغنيه	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}	عندما اؤلف الموسيقي، اجلس علي البيانو واغني كل ما يخطر في بالي من اشياء عشوائيه وابدا باللحن، وبعدها اضيف الكلمات. او اقوم بفتح تطبيق يسمح لي بسماع ما اعمل عليه ومجدداً، اجرب اشياء عشوائيه	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}
2018-04-26 21:30:24	margarita	كيف حالك	عندما كنت في روضه الاطفال، كنت دائماً اغني لدمياتي واحاول كتابه الموسيقي، لذا فلطالما اعتقدت انني ساصبح مغنيه	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}	عندما اؤلف الموسيقي، اجلس علي البيانو واغني كل ما يخطر في بالي من اشياء عشوائيه وابدا باللحن، وبعدها اضيف الكلمات. او اقوم بفتح تطبيق يسمح لي بسماع ما اعمل عليه ومجدداً، اجرب اشياء عشوائيه	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}	من خلال الاتقان في العمل ومعرفه الناس. بهذه الطريقه تحصلين علي عمل في صناعه الموسيقي وتتطورين بعدها	18.189900426742533	{'كَيْفَ': 8.973684210526315, 'كيف': 9.216216216216216}
2018-04-26 21:30:36	margarita	حدثيني عن عائلتك	لا، لكن امي وجدتي كانتا تحبان الغناء	246.27777777777777	{'عائِل': 75.77777777777777, 'عائلتك': 170.5}	لا، لكن امي وجدتي كانتا تحبان الغناء	208.38888888888889	{'عائِل': 37.888888888888886, 'عائلتك': 170.5}	اتصل بعائلتي عبر سكايب مره في الاسبوع، ولا افوت ذلك ابداً	75.77777777777777	{'عائِل': 75.77777777777777}
2018-04-26 21:30:44	margarita	عائلتك	لا، لكن امي وجدتي كانتا تحبان الغناء	208.38888888888889	{'عائِل': 37.888888888888886, 'عائلتك': 170.5}	لا، لكن امي وجدتي كانتا تحبان الغناء	147.76666666666665	{'عائِل': 75.77777777777777, 'عائلتك': 170.5}	اتصل بعائلتي عبر سكايب مره في الاسبوع، ولا افوت ذلك ابداً	75.77777777777777	{'عائِل': 75.77777777777777}
2018-04-26 21:30:52	margarita	والديك	اقنعت والدي عن طريق التحدث مع الصديق الذي التحق بالجامعه والذي اكد بانها المكان الافضل وبانها آمنه جداً	255.75	{'والِدِيّ': 85.25, 'والديك': 170.5}	انا اقرب الي امي لانها تفهمني، لكنني احب والدي بالقدر نفسه	255.75	{'والِدِيّ': 85.25, 'والديك': 170.5}	قبل ان اموت، اريد ان اكتب الكثير من الموسيقي، وان يكون لدي طفلين علي الاقل وان اساعد والدي علي السفر	42.625	{'والِدِيّ': 42.625}
2018-04-26 21:31:07	margarita	حدثيني عن الموسيقى	للنجاح في الموسيقي، وبغض النظر عن الموهبه، عليك التمتع بالمهارات الاجتماعيه ومعرفه بعض الاشياء عن صناعه الموسيقي	50.32863247863248	{'عَن': 15.155555555555555, 'مُوسِيقَى': 19.673076923076923, 'عن': 15.5}	للنجاح في الموسيقي، وبغض النظر عن الموهبه، عليك التمتع بالمهارات الاجتماعيه ومعرفه بعض الاشياء عن صناعه الموسيقي	50.32863247863248	{'عَن': 15.155555555555555, 'مُوسِيقَى': 19.673076923076923, 'عن': 15.5}	للنجاح في الموسيقي، وبغض النظر عن الموهبه، عليك التمتع بالمهارات الاجتماعيه ومعرفه بعض الاشياء عن صناعه الموسيقي	43.77094017094017	{'عَن': 15.155555555555555, 'مُوسِيقَى': 13.115384615384615, 'عن': 15.5}
2018-04-26 21:31:26	margarita	هل تحبين الملاكمه	لا، الماده سهله جداً	434.0	{'هَلْ': 3.875, 'مُلاكَم': 85.25, 'هل': 3.875, 'الملاكمه': 341.0}	نعم، لكنني احب ان احتفظ بهذه الامور لنفسي	127.1	{'هَلْ': 3.875, 'حْبَي': 34.1, 'هل': 3.875, 'تحبين': 85.25}	احب هذه الماده كثيراً!	127.1	{'هَلْ': 3.875, 'حْبَي': 34.1, 'هل': 3.875, 'تحبين': 85.25}
